UserId,Username,FirstName,LastName,Email,TransactionId,Amount,Description,Type,TransactionDate,CreatedAt,IsDiscarded,IsKept
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,A37DEBF8-862F-469B-A3B1-4458CB1A79CF,17628.71,Transfer to Vendor - Sterling Bank,TransferLocal,2025-07-29 19:07:48.866056800,2025-07-29 19:07:48.8660568,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,56E78206-EA42-46C9-81BE-DE52C3949BBF,35556.96,Life Insurance Insurance Premium,InsurancePayment,2025-07-30 23:55:48.866056700,2025-07-30 23:55:48.8660567,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,8FC6E08A-E3E1-4803-8341-C8435C6CC4C4,256827.07,Flight/Bus Ticket to Enugu,TravelBooking,2025-08-01 04:43:48.866056700,2025-08-01 04:43:48.8660567,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,E6A3FE67-35AE-4F54-A3C4-EEB49AFBB31D,28764.57,Waste Management Payment - June,BillPayment,2025-08-02 09:31:48.866056700,2025-08-02 09:31:48.8660567,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,922E9CC7-8A01-47F0-A3DB-EB9CDD92A4F1,2524.02,Airtel Airtime Recharge,AirtimeTopup,2025-08-03 14:19:48.866056700,2025-08-03 14:19:48.8660567,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,FD9FA198-ED6E-4E9B-B400-25E46F149589,2048.56,MTN Airtime Recharge,AirtimeTopup,2025-08-04 19:07:48.866056800,2025-08-04 19:07:48.8660568,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,89122775-B40C-4A7A-BE8F-8C51C2FBE10B,583.24,MTN Airtime Recharge,AirtimeTopup,2025-08-05 23:55:48.866056700,2025-08-05 23:55:48.8660567,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,5C76E784-864B-408F-8503-5E94F6D40A85,383374.28,International Transfer - Ghana,TransferInternational,2025-08-07 04:43:48.866056800,2025-08-07 04:43:48.8660568,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,3D437F60-D170-4296-A680-28B9D360517B,34046.38,Water Payment - January,BillPayment,2025-08-08 09:31:48.866056700,2025-08-08 09:31:48.8660567,0,0
11111111-1111-1111-1111-111111111111,chukwuemeka_okonkwo,Chukwuemeka,Okonkwo,chukwuemeka.okonkwo@example.com,D5A4667A-EA32-459A-956D-817D47518284,12177.3,Shopping Voucher Voucher Redemption,VoucherRedeem,2025-08-09 14:19:48.866056700,2025-08-09 14:19:48.8660567,0,0
